Sr No,Date,Startup Name,Industry Vertical,SubVertical,City Location,Investors Name,InvestmentType,Amount in USD,Year
1558,2015-01-01,truckola,logistics,tech-focused cargo transport startup,mumbai,"abhishek agarwal, krishnakumar nataraj, sarath sura, shanti mohan, sarthak and nihit agarwal, suramya gupta",seed funding,595000.0,2015
1559,2015-01-01,iserve financial,consumer internet,loan comparison & deals platform,pune,nilesh shah,seed funding,1725000.0,2015
1560,2015-01-01,mytaxiindia,consumer internet,online car rental booking platform,new delhi,nihon kotsu co,private equity,1000000.0,2015
1561,2015-01-01,aberuk,ecommerce,online marketplace for books,bengaluru,swastika company pvt ltd,seed funding,1725000.0,2015
1562,2015-01-01,wiwigo,consumer internet,inter-city taxi booking platform,bengaluru,indian angel network,seed funding,595000.0,2015
1564,2016-01-06,chikoop,consumer internet,free ad based voice calling,indore,undisclosed investors,seed funding,1725000.0,2016
1565,2016-01-06,bridgei2i,technology,data analytics platform,bengaluru,edelweiss private equity,private equity,1725000.0,2016
1566,2016-02-06,droom,ecommerce,online marketplace for used automobiles,new delhi,"beenext, digital garage, lightbox, beenos",private equity,1725000.0,2016
1567,2016-02-06,visit,consumer internet,on-demand healthcare service provider,new delhi,mapmyindia,seed funding,1725000.0,2016
1568,2016-02-06,atomberg,technology,"smart, energy efficient home appliance manufacturer",mumbai,parampara capital,private equity,1000000.0,2016
1569,2016-02-06,coutloot,ecommerce,fashion re-commerce platform,mumbai,venture catalysts,seed funding,1725000.0,2016
1570,2016-02-06,limo,consumer internet,bus aggregator mobile app,mumbai,rainmaker ventures,private equity,1000000.0,2016
1571,2016-03-06,icliniq,consumer internet,doctor consultation platform,bengaluru,madhankumar madathupalayam,seed funding,1725000.0,2016
1572,2016-03-06,gogo truck,consumer internet,truck aggregator & booking platform,chennai,undisclosed investor,seed funding,75000.0,2016
1573,2016-03-06,vyome biosciences,healthcare,treatment development for antibiotic-resistant diseases,new delhi,romulus capital,private equity,2000000.0,2016
1574,2016-06-06,sillymonks,consumer internet,digital media and entertainment startup,hyderabad,sreenivasa reddy musani,seed funding,448000.0,2016
1575,2016-07-06,cuemath,education,k-12 maths learning courses,bengaluru,"sequoia capital, unitus seed fund",private equity,4000000.0,2016
1576,2016-07-06,krazybee,consumer internet,student micro-loan platform,bengaluru,"yeahmobi, fenqile",private equity,2000000.0,2016
1577,2016-07-06,intgrea,technology,post merger integration partners,bengaluru,undisclosed investor,seed funding,100000.0,2016
1578,2016-07-06,helpshift,technology,mobile crm platform,pune,"microsoft ventures, salesforce ventures",private equity,23000000.0,2016
1579,2016-07-06,creditvidya,technology,credit scoring platform,mumbai,kalaari capital,private equity,1000000.0,2016
1580,2016-08-06,grey campus,consumer internet,online learning platform,hyderabad,sarath sura,seed funding,1000000.0,2016
1581,2016-08-06,listup,ecommerce,location based classified mobile app,mumbai,"kae capital, kunal shah, sandeep tandon",seed funding,500000.0,2016
1582,2016-08-06,6degree,technology,tech-enabled fashion talent platform,mumbai,indian angel network,seed funding,200000.0,2016
1583,2016-08-06,shopwati,consumer internet,online fashion discussion community,gurugram,sanjiv rai,seed funding,1725000.0,2016
1584,2016-08-06,cookifi,consumer internet,online chef discovery & booking service,bengaluru,"kunal shah, aneesh reddy, tracxn labs, venkat tadanki, krishna mehra, amit rathore",seed funding,1725000.0,2016
1585,2016-08-06,storeking,ecommerce,connecting small town consumers to e-commerce,bengaluru,axiata digital,private equity,16000000.0,2016
1586,2016-08-06,wired hub,real estate,co-working spaces,jaipur,"ankit maheshwari, anand singh",seed funding,1725000.0,2016
1587,2016-08-06,myseniordoctor,consumer internet,online medical support platform,gurugram,blackjag partners,seed funding,200000.0,2016
1588,2016-09-06,teabox,ecommerce,online tea store,siliguri,cameron jones,seed funding,1725000.0,2016
1589,2016-09-06,extraaedge,consumer internet,student acquisition platform,pune,"ritesh dwivedy, priti padhy",seed funding,1725000.0,2016
1590,2016-09-06,epaylater,technology,fin-tech platform,mumbai,3 undisclosed hnis,seed funding,2000000.0,2016
1591,2016-10-06,kyazoonga,ecommerce,online event ticketing platform,mumbai,ratan tata,seed funding,1725000.0,2016
1592,2016-10-06,paytunes,consumer internet,mobile based rewards platform,new delhi,"cio angel network, indian angel network",private equity,500000.0,2016
1593,2016-10-06,kickstart jobs,technology,entry level hiring platform,gurugram,"vivek joshi, mohit satyanand, amit banati, arun khanna",seed funding,1725000.0,2016
1594,2016-10-06,freshee,fmcg,household packaging & storage product manufacturer,mumbai,edelweiss private equity,private equity,1725000.0,2016
1595,2016-10-06,madrat games,technology,wearable gaming platform,bengaluru,"ratan tata, bhavish aggarwal, ankit bhati, binny bansal, girish mathrubootham",seed funding,1725000.0,2016
1596,2016-11-06,jazzmyride,ecommerce,auto parts & accessories etailer,new delhi,tvs automobile solutions ltd,private equity,1725000.0,2016
1597,2016-11-06,autosense,technology,data analytics based customer management services,new delhi,tvs automobile solutions ltd,private equity,1725000.0,2016
1598,2016-11-06,redsun telematics,consumer internet,internet of things platform,chennai,tvs automobile solutions ltd,private equity,1725000.0,2016
1599,2015-01-01,khanagadi,consumer internet,online food delivery for train travelers,jaipur,50k ventures,seed funding,1725000.0,2015
1600,2015-01-01,bombay shirt company,ecommerce,online custom shirt retailer,mumbai,undisclosed investor,private equity,1000000.0,2015
1601,2015-01-01,matrubharti,consumer internet,e-book publisher,unknown,viridian capital,seed funding,30000.0,2015
1602,2015-01-01,edtechreview,consumer internet,education based online portal,new delhi,evc ventures,seed funding,1725000.0,2015
1603,2015-01-01,bonhomia,food & beverage,premium tea & coffee capsules maker,new delhi,valpro capital and existing investors,private equity,1725000.0,2015
1604,2015-01-01,gobolt,logistics,b2b logistics provider,new delhi,mcube8,seed funding,1725000.0,2015
1605,2015-01-01,jivox,technology,data driven advertising platform,bengaluru,"you & mr jones, fortisure ventures, diaz nesamoney",private equity,6000000.0,2015
1606,2015-01-01,sminq,consumer internet,queue management mobile app,pune,"saama capital, blume ventures & vaibhav domkundwar",seed funding,1000000.0,2015
1607,2015-01-01,curejoy,consumer internet,online alternative health community platform,bengaluru,accel partners india,private equity,4400000.0,2015
1608,2015-01-01,oneway.cab,consumer internet,taxi rental platform,vadodara,indian angel network,seed funding,450000.0,2015
1609,2015-01-01,grabonrent,ecommerce,on-demand product rental marketplace,bengaluru,ivycap ventures and unicorn india ventures,private equity,1725000.0,2015
1610,2015-01-01,diro labs,consumer internet,contact management mobile app,new delhi,info edge (india) ltd,private equity,450000.0,2015
1611,2015-01-01,unnati helpers,consumer internet,help hiring platform,gurugram,info edge (india) ltd,private equity,600000.0,2015
1612,2015-01-01,athletto,consumer internet,sports venue discovery and booking platform,bengaluru,atul ingle,seed funding,1725000.0,2015
1613,2015-01-01,saavn,consumer internet,web/mobile music streaming service,usa,guy oseary,private equity,1725000.0,2015
1614,2015-01-01,voonik,ecommerce,online women\\xe2\\x80\\x99s fashion marketplace,bengaluru,sequoia capital,private equity,20000000.0,2015
1615,2015-01-01,thinkphi,technology,sustainable green tech solution developer,mumbai,nimmagadda prasad,seed funding,1725000.0,2015
1616,2015-01-01,cleartax,consumer internet,online tax filing platform,new delhi,"ravi adusumalli, saif partners",private equity,12000000.0,2015
1617,2015-01-01,silvan innovation labs,technology,home automation solutions,bengaluru,infuse ventures,private equity,900000.0,2015
1618,2015-01-01,greythr,technology,payroll & hr software developer,bengaluru,"new enterprise associates (nea), blume ventures",private equity,5200000.0,2015
1619,2015-01-01,duffl,ecommerce,fashion rental marketplace,bengaluru,betonindia technology pvt ltd,seed funding,1725000.0,2015
1620,2015-01-01,byg,consumer internet,fitness centre discovery & booking mobile app,bengaluru,"sanjay verma, amit khanna (letsventure)",seed funding,1725000.0,2015
1621,2015-01-01,dipper,ecommerce,freight logistics marketplace,new delhi,undisclosed investor,seed funding,1725000.0,2015
1622,2015-01-01,qonfuse,consumer internet,online test papers for competitive exams,new delhi,hamraj kumar,seed funding,1725000.0,2015
1623,2015-01-01,the indian iris,consumer internet,govt policy research & information portal,ahmedabad,timbru ventures,seed funding,1725000.0,2015
1624,2015-01-01,onspoon,consumer internet,online platform for event sponsorship,mumbai,swan angel network,seed funding,150000.0,2015
1625,2015-01-01,restate,consumer internet,real estate platform,bengaluru,idein ventures,seed funding,1725000.0,2015
1626,2015-01-01,cleartrip,consumer internet,online travel agency,mumbai,"concur technologies, gund investment",private equity,1725000.0,2015
1627,2015-01-01,procmart,consumer internet,online procurement marketplace,new delhi,indiamart,private equity,1725000.0,2015
1628,2015-01-01,celerix,technology,fintech product development & services startup,bengaluru,bitkemy ventures,seed funding,400000.0,2015
1629,2015-01-01,naturenama,consumer internet,online outdoors & travel,mumbai,unicorn venture,seed funding,225000.0,2015
1630,2015-01-01,cyclopsmedtech,technology,medical technology provider,bengaluru,cp bothra,seed funding,1725000.0,2015
1631,2015-01-01,syona cosmetics,fmcg,beauty products & training to salons & spas,chennai,the chennai angels,seed funding,150000.0,2015
1632,2015-01-01,prettysecrets,ecommerce,women lingerie store,mumbai,"rb investments pte ltd, orios venture partners",private equity,6000000.0,2015
1633,2015-01-01,spiderg,consumer internet,online invoice app for smes,pune,"rahul kirloskar, fusion tech ventures, adi saravanan, pravin dongre, mahendra doshi",seed funding,150000.0,2015
1634,2015-01-01,fareye,technology,logistics management software,new delhi,saif partners,private equity,3500000.0,2015
1635,2015-01-01,the uolo,consumer internet,school parent communication app,bengaluru,"purvi ventures, rajul garg, vipin arora",seed funding,210000.0,2015
1636,2015-01-01,staqu,technology,artificial intelligence based search platform,gurugram,indian angel network,seed funding,1725000.0,2015
1637,2015-01-01,padhopadhao,consumer internet,home tutors search & discovery,new delhi,rise india,private equity,1725000.0,2015
1638,2015-01-01,drivify,consumer internet,professional driver discovery & booking mobile app,mumbai,"jitendra gupta, pankaj tripathi",seed funding,50000.0,2015
1639,2015-01-01,pratilipi,consumer internet,multi-lingual self-publishing platform,bengaluru,nexus venture partners,seed funding,1725000.0,2015
1640,2015-01-01,parablu,technology,cloud data security & privacy solutions,bengaluru,kalaari capital,seed funding,500000.0,2015
1641,2015-01-01,schedulers logistics,logistics,cold storage logistics solutions,mumbai,gvfl,private equity,6000000.0,2015
1642,2015-01-01,leap india,others,supply chain equipment & services provider,mumbai,mayfield ventures,private equity,3000000.0,2015
1643,2015-01-01,kabadiexpress,others,free door step scrap pickup service,new delhi,undisclosed investor,seed funding,148000.0,2015
1644,2015-01-01,yourdost,consumer internet,online counselling & personal coaching platform,bengaluru,"saif partners, aprameya radhakrishnan, phanindra sama, subba rao telidevara, vibhu garg, paula ravindra mariwala, gaurav bhalotia",seed funding,1200000.0,2015
1645,2015-01-01,gomalon,consumer internet,online spa & salon discovery & booking platform,bengaluru,undisclosed investor,seed funding,100000.0,2015
1646,2015-01-01,voler cars,consumer internet,self-driven car rental platform,new delhi,"kanodia family, amit banka",seed funding,1725000.0,2015
1647,2015-01-01,travelyaari,consumer internet,online ticket booking platform,bengaluru,gvfl ltd,private equity,3000000.0,2015
